name,description,language,link
scrape_github_projects,No description,Python,https://github.com/nnguyenquangg/scrape_github_projects
nestjs-codebase,No description,TypeScript,https://github.com/nnguyenquangg/nestjs-codebase
Leetcode-Algorithms,No description,Not specified,https://github.com/nnguyenquangg/Leetcode-Algorithms
infrastructure,No description,Shell,https://github.com/nnguyenquangg/infrastructure
node-app,No description,JavaScript,https://github.com/nnguyenquangg/node-app
whatInoted,No description,Shell,https://github.com/nnguyenquangg/whatInoted
nestjs-microservice-with-saga-transaction,No description,TypeScript,https://github.com/nnguyenquangg/nestjs-microservice-with-saga-transaction
nnguyenquangg.github.io,No description,HTML,https://github.com/nnguyenquangg/nnguyenquangg.github.io
backend-coding-challenge,Backend Coding Challenge,TypeScript,https://github.com/nnguyenquangg/backend-coding-challenge
Blog-React-Nodejs-Graphql,DEMO,JavaScript,https://github.com/nnguyenquangg/Blog-React-Nodejs-Graphql
poc-azure-api-management,No description,TypeScript,https://github.com/nnguyenquangg/poc-azure-api-management
GRABLINGO-frontend-test,No description,JavaScript,https://github.com/nnguyenquangg/GRABLINGO-frontend-test
short-test-nodejs-mysql,No description,JavaScript,https://github.com/nnguyenquangg/short-test-nodejs-mysql
Blockchain-NodeJS,No description,Not specified,https://github.com/nnguyenquangg/Blockchain-NodeJS
demo-reactnative,No description,TypeScript,https://github.com/nnguyenquangg/demo-reactnative
Python,No description,Python,https://github.com/nnguyenquangg/Python
BaiThiAptech,No description,Java,https://github.com/nnguyenquangg/BaiThiAptech
Chatbox-ReactJS-NestJS-Redux-Saga,No description,JavaScript,https://github.com/nnguyenquangg/Chatbox-ReactJS-NestJS-Redux-Saga
login-google-facebook-oauth,No description,JavaScript,https://github.com/nnguyenquangg/login-google-facebook-oauth
login-auth2-passport,No description,TypeScript,https://github.com/nnguyenquangg/login-auth2-passport
saga-shopingcart,No description,JavaScript,https://github.com/nnguyenquangg/saga-shopingcart
shoping-cart-saga,No description,Not specified,https://github.com/nnguyenquangg/shoping-cart-saga
shopping-cart,No description,JavaScript,https://github.com/nnguyenquangg/shopping-cart
dicom-reactnative,No description,JavaScript,https://github.com/nnguyenquangg/dicom-reactnative
demo_nestjs,No description,Not specified,https://github.com/nnguyenquangg/demo_nestjs
test03,No description,Not specified,https://github.com/nnguyenquangg/test03
TrainingAcexis,No description,HTML,https://github.com/nnguyenquangg/TrainingAcexis
Test2weekAcexis,No description,Not specified,https://github.com/nnguyenquangg/Test2weekAcexis
Customvideo_Day11,No description,CSS,https://github.com/nnguyenquangg/Customvideo_Day11
CheckBox_Day10,No description,CSS,https://github.com/nnguyenquangg/CheckBox_Day10
AJAXtypeAhead_Day6,No description,CSS,https://github.com/nnguyenquangg/AJAXtypeAhead_Day6
FLEXBOX_Day5,No description,CSS,https://github.com/nnguyenquangg/FLEXBOX_Day5
UpdateCSSwithJS_Day3,No description,CSS,https://github.com/nnguyenquangg/UpdateCSSwithJS_Day3
CSSandJS_day2,No description,CSS,https://github.com/nnguyenquangg/CSSandJS_day2
JS_Drumkit,No description,CSS,https://github.com/nnguyenquangg/JS_Drumkit
CoffeeManagementTQD,Đồ án học tập sử dụng Java FX + SQLserver,Java,https://github.com/nnguyenquangg/CoffeeManagementTQD
